run_id,system,workload,scenario,conflict_ratio,concurrency,total_requests,attempts_total,attempts_committed,attempts_aborted,abort_rate_attempt,requests_total,requests_failed,abort_prob_request,retry_p50,retry_p90,retry_p99,retry_max
b1f91377-5ccd-4ddf-a4f9-d856195fd584,HLF-bookkeeping-baseline-window50-noretry-cr0.9,bookkeeping_tx,hot_accounts,0.9,20,2000,2000,1041,959,0.4795,2000,959,0.4795,1,1,1,1
ba2b87aa-c4de-4e7f-b2f9-5cc7a257bf55,HLF-bookkeeping-merge-window50-noretry-cr0.9,bookkeeping_tx,hot_accounts,0.9,20,2000,594,493,101,0.17003367003367004,594,101,0.17003367003367004,1,1,1,1
22338268-8854-4716-8642-00fa5613346e,HLF-stock-baseline-window50-noretry-cr0.1,stock_trade,hot_accounts,0.1,20,2000,2000,1875,125,0.0625,2000,125,0.0625,1,1,1,1
6a7d0c43-af49-4c60-a74d-caa9a90d8232,HLF-stock-merge-window50-noretry-cr0.1,stock_trade,hot_accounts,0.1,20,2000,1857,1765,92,0.04954227248249865,1857,92,0.04954227248249865,1,1,1,1
75eb1f5c-c35b-4e06-ad87-773ba92338c5,HLF-stock-baseline-window50-noretry-cr0.5,stock_trade,hot_accounts,0.5,20,2000,2000,1144,856,0.428,2000,856,0.428,1,1,1,1
ed7a10e6-9d04-48ab-a42a-5c2aafe632d5,HLF-stock-merge-window50-noretry-cr0.5,stock_trade,hot_accounts,0.5,20,2000,1346,1003,343,0.25482912332838037,1346,343,0.25482912332838037,1,1,1,1
99a3e190-6b41-42f0-9553-96a429381ff9,HLF-stock-baseline-window50-noretry-cr0.9,stock_trade,hot_accounts,0.9,20,2000,2000,515,1485,0.7425,2000,1485,0.7425,1,1,1,1
ab185d54-107d-458c-b1aa-d662a235a525,HLF-stock-merge-window50-noretry-cr0.9,stock_trade,hot_accounts,0.9,20,2000,653,251,402,0.6156202143950995,653,402,0.6156202143950995,1,1,1,1
aca506c6-07ff-4035-936e-75cb8a9df772,HLF-stock-baseline-window50-noretry-cr0.1,stock_trade,hot_accounts,0.1,20,2000,2000,1875,125,0.0625,2000,125,0.0625,1,1,1,1
ccd86b0f-bb98-4527-9be4-0630b9a3bd0a,HLF-stock-baseline-window50-noretry-cr0.5,stock_trade,hot_accounts,0.5,20,2000,2000,1136,864,0.432,2000,864,0.432,1,1,1,1
bde42e1b-bdb2-4066-b363-6d3c7df87a98,HLF-stock-baseline-window50-noretry-cr0.9,stock_trade,hot_accounts,0.9,20,2000,2000,520,1480,0.74,2000,1480,0.74,1,1,1,1
003dba6c-6fc1-460a-8a53-2def858ff37a,HLF-stock-key-then-value-window50-noretry-cr0.1,stock_trade,hot_accounts,0.1,20,2000,1857,1769,88,0.04738826063543349,1857,88,0.04738826063543349,1,1,1,1
7456ba9f-0157-4d69-822a-5fab260dbfb6,HLF-stock-key-then-value-window50-noretry-cr0.5,stock_trade,hot_accounts,0.5,20,2000,1317,992,325,0.24677296886864086,1317,325,0.24677296886864086,1,1,1,1
58b4b5cc-2ac5-4956-aea5-d9e9cbf5295d,HLF-stock-key-then-value-window50-noretry-cr0.9,stock_trade,hot_accounts,0.9,20,2000,524,225,299,0.5706106870229007,524,299,0.5706106870229007,1,1,1,1
7ac6f770-bbab-4cca-8e74-3fae901eabc3,HLF-stock-baseline-window50-noretry-cr0.1,stock_trade,hot_accounts,0.1,20,2000,2000,1878,122,0.061,2000,122,0.061,1,1,1,1
bd850ada-6c71-487a-944c-fcc93c1f7e27,HLF-stock-key-then-value-window50-noretry-cr0.1,stock_trade,hot_accounts,0.1,20,2000,1857,1766,91,0.04900376952073236,1857,91,0.04900376952073236,1,1,1,1
